,Date,banks_positive,banks_neutral,banks_negative,fin_positive,fin_neutral,fin_negative,count_banks,count_fin,dollar,sp500,dollar_diff,sp500_diff
159,2022-06-09,,,,0.0104409791529178,0.043995227664709,0.9455636739730836,0,1,118.8836,4017.82,0.5011999999999972,-97.95000000000027
160,2022-06-10,0.09719942510128016,0.8546836078166962,0.0481169428676366,0.342873340472579,0.4880550168454647,0.16907163523137564,2,4,119.9422,3900.86,1.0585999999999984,-116.96000000000004
163,2022-06-13,0.216384932398796,0.6193573474884033,0.1642577052116394,0.41730066140492755,0.5226280689239502,0.060071269671122196,1,3,121.0807,3749.63,1.1384999999999934,-151.23000000000002
164,2022-06-14,0.2323793470859527,0.7064740657806396,0.0611465908586978,0.273538468236273,0.6079915382645347,0.11846999739381396,1,11,121.5898,3735.48,0.5091000000000037,-14.150000000000091
165,2022-06-15,,,,0.15098232320613328,0.5303869143956237,0.318630769641863,0,18,121.5462,3789.99,-0.04359999999999786,54.50999999999976
166,2022-06-16,,,,0.24119043505440155,0.3733339322110017,0.38547561317682266,0,3,120.5963,3666.77,-0.9498999999999995,-123.2199999999998
167,2022-06-17,0.11150236986577505,0.833812415599823,0.0546852247789502,0.1936640320345759,0.38436071077982586,0.4219752599795659,2,3,121.1529,3674.84,0.5566000000000031,8.070000000000164
171,2022-06-21,0.4414600431919098,0.4385614693164825,0.1199784949421882,0.33796203657984736,0.47855413109064104,0.18348383642733096,1,5,120.5505,3764.79,-0.6024000000000029,89.94999999999982
172,2022-06-22,,,,0.06458746455609793,0.33700386621057987,0.5984086692333221,0,4,120.4383,3759.89,-0.11220000000000141,-4.900000000000091
173,2022-06-23,,,,0.3042874306440353,0.5592855870723724,0.13642696812748906,0,5,120.6703,3795.73,0.23199999999999932,35.840000000000146
174,2022-06-24,0.0874294191598892,0.8787252902984619,0.0338452607393264,0.2294052839279174,0.5747350454330444,0.195859670639038,1,1,120.3971,3911.74,-0.2732000000000028,116.00999999999976
177,2022-06-27,0.38487062851587933,0.5100732445716858,0.10505610456069307,0.7184852063655853,0.2381936013698578,0.04332120157778255,3,2,120.0907,3900.11,-0.30639999999999645,-11.629999999999654
178,2022-06-28,0.2736167013645172,0.659960150718689,0.0664231777191162,0.3338922038674354,0.6485111713409424,0.01759662246331565,1,2,120.5248,3821.55,0.4341000000000008,-78.55999999999995
179,2022-06-29,,,,0.045792993158102,0.5400909781455994,0.4141159355640411,0,1,120.8569,3818.83,0.33209999999999695,-2.7200000000002547
180,2022-06-30,0.3281469754874706,0.6095361858606339,0.06231687590479845,0.53370151668787,0.4438652452081442,0.02243323437869545,2,2,120.8719,3785.38,0.015000000000000568,-33.44999999999982
