,Date,dollar,sp500,dollar_diff,sp500_diff,bank_positive,bank_neutral,bank_negative,count_bank,fin_positive,fin_neutral,fin_negative,count_fin,bank_positive_var,bank_neutral_var,bank_negative_var,fin_positive_var,fin_neutral_var,fin_negative_var,bank_pos_dummy2,bank_neg_dummy2,fin_pos_dummy2,fin_neg_dummy2,bank_pos_dummy,bank_neu_dummy,bank_neg_dummy,fin_pos_dummy,fin_neu_dummy,fin_neg_dummy
97,2022-11-21,124.6611,3949.94,0.8442000000000007,-15.400000000000091,,,,0,0.18340334296226501,0.5503201931715012,0.2662764824926853,2,,,,0.021739473911283724,0.12606029591959045,0.04310048450448048,0,0,0,1,0,0,0,0,1,0
98,2022-11-22,124.1986,4003.58,-0.4625000000000057,53.63999999999987,,,,0,0.37114500999450684,0.44126439094543457,0.1875905841588974,1,,,,,,,0,0,1,0,0,0,0,0,1,0
99,2022-11-23,123.734,4027.26,-0.46460000000000434,23.68000000000029,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
100,2022-11-25,123.3171,4026.12,-0.41689999999999827,-1.1400000000003274,,,,0,0.19397952361032367,0.3275512005202472,0.47846924141049385,4,,,,0.03000858865996427,0.10350308364856957,0.12306690626087748,0,0,0,1,0,0,0,0,0,1
101,2022-11-28,123.5866,3963.94,0.26950000000000784,-62.179999999999836,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
102,2022-11-29,123.6284,3957.63,0.04179999999999495,-6.309999999999945,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
103,2022-11-30,123.467,4080.11,-0.16140000000000043,122.48000000000002,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
104,2022-12-01,121.9697,4076.57,-1.4972999999999956,-3.5399999999999636,,,,0,0.7810534238815308,0.16713504493236542,0.05181152746081352,1,,,,,,,0,0,1,0,0,0,0,1,0,0
105,2022-12-02,121.9745,4071.7,0.004800000000003024,-4.870000000000346,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
106,2022-12-05,122.5802,3998.84,0.6056999999999988,-72.85999999999967,,,,0,0.12339252978563309,0.795400083065033,0.08120734430849552,2,,,,0.0019068649539627502,3.4791729497385404e-05,0.0024568006689516045,0,0,0,0,0,0,0,0,1,0
107,2022-12-06,122.9649,3941.26,0.38469999999999516,-57.57999999999993,,,,0,0.29285196199392277,0.284500315785408,0.42264773044735193,6,,,,0.16195653464992232,0.058108976827758084,0.1225300102437826,0,0,0,1,0,0,0,0,0,1
108,2022-12-07,122.7015,3933.92,-0.2634000000000043,-7.3400000000001455,,,,0,0.05669289827346802,0.7546614408493042,0.1886456459760666,1,,,,,,,0,0,0,0,0,0,0,0,1,0
109,2022-12-08,122.3684,3963.51,-0.33310000000000173,29.590000000000146,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
110,2022-12-09,122.3712,3934.38,0.0028000000000076852,-29.13000000000011,,,,0,0.414328008890152,0.22415660321712494,0.36151541769504547,2,,,,0.0013857902603220396,0.01455122875153636,0.024918099365490054,0,0,1,0,0,0,0,1,0,0
111,2022-12-12,122.7245,3990.56,0.3533000000000044,56.179999999999836,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
112,2022-12-13,121.8116,4019.65,-0.9129000000000076,29.090000000000146,,,,0,0.033315759152173996,0.5505456924438477,0.41613849997520447,1,,,,,,,0,0,0,1,0,0,0,0,1,0
113,2022-12-14,121.7922,3995.32,-0.019400000000004525,-24.329999999999927,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
114,2022-12-15,122.5201,3895.75,0.7279000000000053,-99.57000000000016,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
115,2022-12-16,122.6127,3852.36,0.09260000000000446,-43.38999999999987,,,,0,0.207689568400383,0.30378860235214233,0.4885217249393463,1,,,,,,,0,0,0,1,0,0,0,0,0,1
116,2022-12-19,122.5102,3817.66,-0.10250000000000625,-34.70000000000027,,,,0,0.10820742789655924,0.47410348504781724,0.41768907755613327,5,,,,0.0116403888467623,0.13329174510828246,0.19198351830200094,0,0,0,1,0,0,0,0,1,0
117,2022-12-20,122.1117,3821.62,-0.3984999999999985,3.9600000000000364,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
118,2022-12-21,122.2665,3878.44,0.1547999999999945,56.820000000000164,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
119,2022-12-22,122.2105,3822.39,-0.055999999999997385,-56.05000000000018,,,,0,0.16299916058778763,0.3474232256412506,0.48957765847444534,2,,,,0.012974797451462128,0.11238819963091551,0.20173611809398484,0,0,0,1,0,0,0,0,0,1
120,2022-12-23,121.9579,3844.82,-0.25260000000000105,22.43000000000029,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
121,2022-12-27,121.7378,3829.25,-0.22010000000000218,-15.570000000000164,,,,0,0.2019103467464447,0.41494105756282806,0.3831486105918884,2,,,,0.03273568533899329,0.008554824015583495,0.07475979198523675,0,0,0,1,0,0,0,0,1,0
122,2022-12-28,121.9983,3783.22,0.2605000000000075,-46.0300000000002,,,,0,0.18650421034544706,0.36399757117033005,0.44949827529489994,2,,,,0.05704982121237105,0.09867733769013942,0.3057874395793822,0,0,0,1,0,0,0,0,0,1
123,2022-12-29,121.6556,3849.28,-0.34269999999999357,66.0600000000004,,,,0,0.9442613124847412,0.038369059562683105,0.017369655892252922,1,,,,,,,0,0,1,0,0,0,0,1,0,0
124,2022-12-30,121.4047,3839.5,-0.25090000000000146,-9.7800000000002,,,,0,0.6435589790344238,0.31975716911256313,0.03668384253978729,2,,,,0.1539336830390141,0.13681082249290327,0.0005046467519475017,0,0,1,0,0,0,0,1,0,0
125,2023-01-03,122.041,3824.14,0.6362999999999914,-15.360000000000127,,,,0,0.44579918682575226,0.5155190005898476,0.03868180482337872,3,,,,0.14455439158620442,0.12623435987937154,0.0007123713427957814,0,0,1,0,0,0,0,0,1,0
126,2023-01-04,121.4767,3852.97,-0.5643000000000029,28.829999999999927,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
127,2023-01-05,122.0316,3808.1,0.5549000000000035,-44.86999999999989,,,,0,0.29604758881032467,0.22457829862833023,0.47937409579753876,2,,,,0.10914298819043772,0.013437457854039825,0.19917292747223359,0,0,0,1,0,0,0,0,0,1
128,2023-01-06,121.044,3895.08,-0.9876000000000005,86.98000000000002,,,,0,,,,0,,,,,,,0,0,0,0,0,0,0,0,0,0
